cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,LOCATION,coordinate,lat,lon
76,1068,대구광역시 중구 대봉동 12-9,한식,단골식당,053-423-3266,17:00 ~ 01:00,36석,없음,없음,영어 기타 (베트남어),조건부 가능,불가능,불가능,불가능,"연탄석쇠불고기(200g) 6,000원 
곰장어 양념구이 15,000원 
가자미구이 10,000원 
미주구리무침회 20,000원 
빈대떡 15,000원 
해물파전 8,000원
",방천시장 내 위치한 단골식당은 연탄 석쇠불고기 전문점입니다.,지하철 2호선 경대병원역 3번 출구 약 280m 도보로 약 4분 거리,버스 정류장은 `방천시장(김광석길)앞` 정류장이 가장 가깝습니다.,중구,"[35.8622553, 128.606083]",35.8622553,128.606083
77,1048,대구광역시 중구 삼덕동1가 28-20,일식,이자와 동성로점,053-256-2880,11:00 ~ 22:00,28석,없음,없음,영어 일본어 기타 (베트남어),가능,불가능,불가능,불가능,"규카츠정식 15,000원 
히레카츠정식 13,000원 
스테키동 13,000원 
돈토로 덮밥(항정살덮밥) 10,000원 
마제소바 9,000원
","이자와(いわざ)는 2015년 6월 개업한 국내 최초의 규카츠, 스테키동 전문점의 동성로 분점입니다.",지하철 환승역인 반월당역 10번 출구 약 696m,버스 정류장은 `봉산문화거리 건너` 정류장이 가장 가깝습니다.,중구,"[35.8666738, 128.5981252]",35.8666738,128.5981252
78,1045,대구광역시 중구 동일동 17-3,한식,장미식당,010-****-6718,18:00 ~ 03:00,30석(룸2),없음,없음,영어 일본어 중국어 &lt;BR&gt;기타 (베트남어),가능,불가능,불가능,불가능,"돌판생오리불고기 23,000원 
한우육회(200g) 19,000원 
밀푀유나베 18,000원 
돼지김치찌개 17,000원 
차돌박이 숙주볶음 17,000원 
간장새우 15,000원 
대삼치구이(50cm) 19,000원
","장미식당은 80년대 모습의 전경과 1등급 한우요리와 육회, 사시미, 물회, 육전, 술 등을 판매하는 옛날 감성 한식.술집입니다.",지하철 1호선 중앙로역 1번 출구 약 160m 도보 2분,버스 정류장은 `만경관건너` 정류장이 가장 가깝습니다.,중구,"[35.8697918, 128.5922309]",35.8697918,128.5922309
79,1044,대구광역시 중구 종로1가 50,특별한 술집,온달포장,053-219-0305,17:00 ~ 04:00,60석,없음,없음,영어 기타 (베트남어),가능,불가능,불가능,불가능,"닭똥집(200g) 9,000원
곰장어(200g)  10,000원
무뼈닭발(200g) 10,000원
닭다리살(200g)  10,000원
계란탕 6,000원
우동 4,000원
라면 4,000원","온달포장은 실내포장마차입니다. 
닭똥집, 곰장어, 닭다리살 등의 안주류와 술을 판매하는 업소입니다.",지하철 1호선 중앙로역 1번 출구 약 220m 도보 3분,버스 정류장은 `만경관건너` 정류장이 가장 가깝습니다.,중구,"[35.8699124, 128.5922717]",35.8699124,128.5922717
80,1043,대구광역시 중구 동일동 14,한식,바랄새우,053-423-4592,17:00 ~ 02:00,50석,없음,없음,영어 기타 (베트남어),가능,불가능,불가능,불가능,"왕새우구이 25,000원/40,000원 
독도새우 통튀김 25,000원/35,000원 
문어튀김 25,000원/35,000원 
랍스터 치즈구이 39,000원/ 78,000원 
가리비찜 30,000원
",바랄새우는 바다의 옛말 바랄을 사용한 바다새우라는 의미로 올바른 새우요리를 맛볼 수 있는 국내산 왕새우 전문점입니다.,지하철 1호선 중앙로역 1번 출구 약 130m,버스 정류장은 `만경관건너` 정류장이 가장 가깝습니다.,중구,"[35.8698146, 128.5925412]",35.8698146,128.5925412
81,1038,대구광역시 중구 대봉1동 178-7,한식,징기스,053-425-8592,17:00 ~ 02:00,28석,없음,없음,기타 (베트남어),가능,불가능,불가능,불가능,"양갈비(120g) 14,000원 
양고기(120g) 14,000원  
양티본(T-bone) (120g) 14,000원 
양감자탕 15,000원 
양된장찌개 4,000원
",징기스는 대봉동 봉리단길에 위치한 북해도식 양고기 화로구이 전문점입니다.,지하철 3호선 건들바위역 4번 출구 약 360m 5분,버스 정류장은 `대봉도서관앞` 정류장이 가장 가깝습니다.,중구,"[35.8560753, 128.6024322]",35.8560753,128.6024322
82,1036,대구광역시 중구 대봉동 100-6,한식,봉동막창,053-425-0092,18:00 ~ 01:00,84석,3대,없음,기타 (베트남어),가능,불가능,불가능,불가능,"막창(150g) 8,000원 
삼겹살(150g) 7,000원 
목살(150g) 7,000원 
소삼겹(100g) 7,000원 
소막창(120g) 9,000원 
김치전골(한냄비) 15,000원 
주꾸미볶음 (대) 25,000원 (중)15,000원 
시골된장찌개 1,000원","[봉동막창]은 대구10味 막창과 돼지갈비, 생삼겹살 등 다양한 부위의 돼지고기와 소삼겹(차돌박이)을 맛볼 수 있는 막창구이 전문점입니다.","지하철 3호선 건들바위역 4번 출구 약 500m 
지하철 2호선 경대병원역 2번 출구 약 880m","버스 정류장은 `대구맨션건너`가 가장 가깝습니다.


",중구,"[35.8584488, 128.6012809]",35.8584488,128.6012809
83,1026,대구광역시 중구 대봉1동 130-5,양식,올가닉신라,053-421-1628,11:00 - 22:00,30석(룸4),8대,없음,영어 일본어 기타 (베트남어),가능,가능,불가능,가능,"스테이크 코스 100g 73,000원 
스테이크 코스 150g 83,000원 
점심특선 스테이크코스 49,000원 
파스타코스 39,000원 
쉐어코스(3-4인분) 18,7000원
","갤러리 신라 안에 있는 유기농 이탈리안 레스토랑입니다. 
모든 재료를 유기농으로 고집하는 음식점입니다.",지하철 3호선 대봉교역 1번 출구 약 500m,버스 정류장은 `청운맨션건너` 정류장이 가장 가깝습니다.,중구,"[35.85648279999999, 128.6036731]",35.85648279999999,128.6036731
84,1025,대구광역시 중구 종로2가 81,한식,산,053-257-9994,11:30 ~ 22:00 (브레이크 타임 14:30 ~ 17:00),150석(룸12),유료주차장(지원),없음,기타 (베트남어),가능,불가능,불가능,가능,"행복품은 상 33,000원 
미소가 가득한 산 44,000원 
짝을 찾는 산 55,000원 
젊음이 넘치는 산(예약필수) 77,000원  

[점심특선] 
산정식 20,000원 
육회비빔밥 정식 20,000원
",한식전문 산은 고급 한식 요리 전문점입니다.,"지하철 1호선 중앙로역 2번출구 약 350m 
지하철 2호선 반월당역 15번 출구 약 250m",버스 정류장은 `약령시앞` 정류장이 가장 가깝습니다.,중구,"[35.8675825, 128.5926386]",35.8675825,128.5926386
85,1024,대구광역시 중구 계산동2가 77,한식,마시뜰(계산점),053-252-1588,10:00 ~ 22:00,70석(룸3),없음. 주변 유료주차장 이용,없음,영어 기타 (베트남어),가능,불가능,불가능,가능,"한정식A코스 28,000원
한정식B코스 38,000원
한정식C코스 48,000원
한정식S코스 58,000원
전복갈낙탕 12,000원
곤드레 영양솥방정식 12,000원
소불고기 영양솥밥정식 14,000원
코다리찜 영양솥밥정식 14,000원
소갈비찜 30,000원 ~ 45,000원
소불고기 20,000원 ~ 30,000원
한우 생모둠 코스 38,000원
한우 갈비살 코스 34,000원
생갈비 코스 34,000원","마시뜰 계산점은 한식 코스요리와 한우코스, 소갈비코스 등을 맛볼 수 있는 한정식, 한우 전문점입니다",지하철 2호선 반월당역 18번 출구 약 380m,버스 정류장은 `매일신문사앞` 정류장이 가장 가깝습니다.,중구,"[35.8671204, 128.5874319]",35.8671204,128.5874319
86,1002,대구광역시 중구 삼덕동2가 105-2,한식,벙글벙글식당 경대병원점,053-421-5390,08:00 ~ 21:30,70석(룸1),유료주차장 이용,없음,기타 (베트남어),예약가능,불가능,가능,불가능,"육개장 8,000원 
비빔밥 8,000원 
선지국 8,000원 
수육 (대) 20,000원 (소)16,000원
","대구육개장으로 유명한 맛집. 오랜 사골 육수에 파, 무, 양지머리만을 이용해서 만드는 50년 전통의 벙글벙글식당 직영점.","경대병원역 1번출구에서 약 400m 거리 입니다.
경북대학교 응급실 맞은편에 위치하고 있습니다.",경북대학교병원건너 정류장이 바로 업소 앞에 위치하고 있습니다.,중구,"[35.8661869, 128.603203]",35.8661869,128.603203
87,966,대구광역시 중구 동산동 715,한식,우각식육식당,053-252-8100,10:00 ~ 22:00,160석(룸9),15대,없음,일본어 기타 (베트남어),가능,불가능,불가능,가능,"특수부위(100g) 27,000원 
갈비살(100g) 20,000원  
차돌박이(100g) 14,000원 
생삼겹살(100g) 7,000원 
육회 30,000원 
한우탕 11,000원 
육회비빔밥 10,000원 
불고기정식 10,000원 
소고기국밥 8,000원 
된장찌개 7,000원 
냉면 6,000원 
","우각은 한우고기 전문점으로 1+, 1++의 좋은 품질의 한우만 판매하는 한우고기 전문점입니다.",지하철 2호선 신남역 9번 출구 약 80m,버스 정류장은 `엘디스리젠트호텔앞` 정류장이 가장 가깝습니다.,중구,"[35.8656561, 128.5836707]",35.8656561,128.5836707
88,965,대구광역시 중구 봉산동 132-8,중식,영발장,053-425-3512,11:30 ~ 20:00,60석,주변 유료주차장 이용,없음,중국어 &lt;BR&gt;기타 (베트남어),가능,불가능,불가능,가능,"짜장면 6,000원 
짬뽕 7,000원 
야끼우동 7,000원 
탕수육 18,000원 
깐풍기 30,000원
",영발장은 대를 이어 52년째 동안 운영되어온  오래된 정통중화요리 전문점입니다.,지하철 2호선 반월당역 9번 출구 약  90m,버스 정류장은 `봉산문화거리앞` 정류장이 가장 가깝습니다.,중구,"[35.8642355, 128.5967217]",35.8642355,128.5967217
89,954,대구광역시 중구 포정동 21-3,한식,마산식당,053-253-6304,08:00 ~ 22:00,62석(룸1),없음,없음,기타 (베트남어),가능,불가능,불가능,가능,"돼지국밥 6,500원 
순대국밥 6,500원  
암뽕국밥 7,500원 
씨락육국수 6,500원 
고기밥(1인분) 8,000원 
암뽕 12,000원/17,000원
돼지수육 12,000원/17,000원/23,000원
",마산식당은 84년에 시작된 돼지국밥과 수육 전문점으로 35년 이상 운영하고 있는 오래된 음식점입니다.,지하철 1호선 중앙로역 4번 출구 약 190m,버스 정류장은 `경상감영공원앞` 정류장이 가장 가깝습니다.,중구,"[35.8723319, 128.5931103]",35.8723319,128.5931103
90,953,대구광역시 중구 동일동 21,한식,통나무집,053-252-6210,11:00 ~ 01:00,96석,주변유료주차장이용,없음,영어 기타 (베트남어),가능,불가능,불가능,가능,"해물야채볶음/가오리찜/아구찜  40,000원/45,000원/50,000원/55,000원 
",통나무집은 35년 이상의 전통을 지닌 해물야채볶음 전문점입니다.,지하철 1호선 중앙로역 1번 출구 약 150m,버스 정류장은 `약령시앞` 정류장이 가장 가깝습니다.,중구,"[35.86962159999999, 128.5923758]",35.86962159999999,128.5923758
91,950,대구광역시 중구 태평로3가 218-18,한식,원조할매곰탕집,053-255-1122,07:30 ~ 21:00,60석(룸2),노상주차,없음,기타 (베트남어),가능,불가능,가능,가능,"곰탕(한우) 14,000원 
도가니탕(한우) 17,000원 
양곰탕(한우) 17,000원 
특곰탕(한우) 17,000원 
우족탕(한우) 22,000원 
꼬리곰탕(한우) 22,000원 
설렁탕(한우) 11,000원 
수육(한우) 30,000원/35,000원 
양수육(한우) 45,000원 
꼬리수육(한우) 55,000원 
족수육(한우) 55,000원 
모듬수육(한우) 60,000원
",원조할매곰탕집은 곰탕 전문점으로 한우만을 사용하는 34년 이상의 오래된 음식점입니다.,지하철 1호선 대구역 2번출구에서 약 660m,버스 정류장은 `시민회관건너` 정류장이 가장 가깝습니다.,중구,"[35.87526510000001, 128.5908376]",35.87526510000001,128.5908376
92,949,대구광역시 중구 대신동 265-29,한식,성주식당,053-254-9545,08:00 ~ 19:00,15석,서문시장 유료주차장 이용,없음,기타 (베트남어),불가,불가능,불가능,불가능,"수육 15,000원 ~ 20,000원 
편육 10,000원 
수육정식 8,500원 
따로국밥 7,000원 
국밥 6,500원 
",성주식당은 대를 이은 음식점으로 서문시장에 위치한 수육과 국밥 전문점입니다.,지하철 3호선 서문시장역 3번 출구 약 370m,버스 정류장은 `서문시장5지구앞` 정류장이 가장 가깝습니다.,중구,"[35.8682058, 128.5792224]",35.8682058,128.5792224
93,918,대구광역시 중구 대봉1동 31-83,전통차/커피전문점,선댄스팜,053-255-9625,11:00 ~ 23:30,64석,5대,없음,기타 (베트남어),가능,불가능,불가능,불가능,"필터커피(에티오피아, 콜롬비아) 5,000원 
카페라떼 5,000원 
아인슈페너 5,500원 
얼그레이에이드 6,500원 
샥슈카 15,000원 
연어에그베네딕트 15,000원
","현대와 고전이 공전하는 인테리어.
잔잔한 클래식음악과 커피와 티, 허브를 즐길 수 있는 카페입니다.",가장 가까운 지하철은 2호선 경대병원역 3번 출구에서 약 584m,버스정류장은 `청구타운건너` 정류장이 가장 가깝습니다.,중구,"[35.8603389, 128.6054174]",35.8603389,128.6054174
94,902,대구광역시 중구 공평동 61-4,양식,빈플러스,053-242-3582,12:00 ~ 24:00,80석,주변유료주차장이용,없음,영어 중국어 &lt;BR&gt;기타 (베트남어),불가능,불가능,불가능,불가능,"시카고피자 오리지널 딥디쉬 16,000원 
스위트딥디쉬 16,000원 
고추오일파스타 10,800원 
불고기 잠발라야(2인분) 13,000원 
버섯 크림 리조또 10,800원 
",괴물빙수로 불리는 커다란 빙수와 함께 넉넉한 치즈가 특징인 시카고 피자를 중심으로 다양한 메뉴를 즐길 수 있는 곳입니다.,지하철 1호선 중앙로역 2번 출구에서 약 400m 거리 입니다.,"버스 정류장은 `삼덕성당앞`이 가장 가깝습니다.
",중구,"[35.8680916, 128.5992022]",35.8680916,128.5992022
95,881,대구광역시 중구 남산4동 568-2,한식,예전손국수,053-257-6656,11:00 ~ 20:30,100석(룸3),없음,없음,기타 (베트남어),가능,불가능,불가능,가능,"손국수 7,000원 
찹쌀수제비 9,000원 
제육볶음 9,000원 
비빔밥 7,000원 
명태찜(2인이상) 10,000원 
파전 8,000원 
수육 30,000원 
",선별된 재료를 사용하여 칼국수를 만드는 예전손국수는 칼국수와 특허받은 명태찜과 찹쌀 수제비가 유명한 곳입니다.,지하철 1호선 반월당역 19번 출구에서 약 200m,"버스 정류장은 `남산2동주민센터앞 `이 가장 가깝습니다.
",중구,"[35.8582146, 128.5805303]",35.8582146,128.5805303
96,880,대구광역시 중구 향촌동 18-4,한식,부엉이,053-252-3151,14:00 ~ 21:00,37석,주차불가,없음,기타 (베트남어),불가,불가능,불가능,가능,"생고기 30,000원 
육회 25,000원 
양지머리 25,000원 
대창 20,000원
막창 20,000원 
찌개 40,000원 
불고기 20,000원

",부엉이식당은 대구 10미 뭉티기(생고기)를 맛볼 수 있는 곳으로 83년 부터 운영되어 온 36년 이상 오래된 생고기 전문점입니다.,지하철 1호선 중앙로역 4번출구에서 약 250m,"버스 정류장은 `경상감영공원앞`이 가장 가깝습니다.
",중구,"[35.8738115, 128.5937215]",35.8738115,128.5937215
97,877,"대구광역시 중구 남일동 109-2, 2층",일식,스시이로까,053-256-8259,11:30 ~ 21:30,24석,주차불가,없음,영어 일본어 기타 (베트남어),평일 가능,불가능,불가능,불가능,"고급모듬초밥(10P) 15,000원 
일반모듬초밥(10P) 9,000원 
생선초밥(10P) 13,000원 
광어초밥(10P) 12,000원 
연어초밥(10P) 11,000원
",스시이로까는 주문식 초밥집으로 유면한 곳으로 신선하고 다양한 초밥을 맛볼 수 있습니다.,지하철 1호선 중앙로역 2번 출구 약 100m,"버스 정류장은 `약령시건너(동성로입구) `가 가장 가깝습니다.
",중구,"[35.868322, 128.5940139]",35.868322,128.5940139
98,836,대구광역시 중구 삼덕동1가 28-12,한식,머꼬 (What),053-422-3789,14:00 ~ 03:00(새벽),96석(룸1),주변 유료 주차장,없음,영어 일본어 기타 (베트남어),가능,불가능,불가능,가능,"생삼겹/통후추삼겹/허브삼겹/오바마삼겹(150g) 9,500원 
이베리코목살(150g) 11,000원
",2003년 오픈한 이래 특별한 삼겹살을 판매하고 있는 전통의 소스 삼겹살 전문점.,지하철 2호선 반월당 10번 출구 약 400m,버스 정류장은 `삼덕교회` 정류장이 가장 가깝습니다.,중구,"[35.8664698, 128.5983651]",35.8664698,128.5983651
99,831,대구광역시 중구 남산동 912-13,한식,복주,053-422-5821,16:30 ~ 23:00,20석,주차불가,없음,기타 (베트남어),가능,불가능,불가능,불가능,"소갈비살(130g) 13,000원 
소막창(130g) 13,000원 
돼지막창(130g) 10,000원

",복주는 남구 명륜로(남산동)에 위치한 대구의 명물인 소막창 전문점입니다.,지하철 2호선 반월당역 5번 출구 약 120m,버스 정류장은 `2호선반월당역2` 정류장이 가장 가깝습니다.,중구,"[35.8641632, 128.5945819]",35.8641632,128.5945819
100,770,대구광역시 중구 동인동4가 168-12,한식,왕거미,053-427-6380,17:00 ~ 24:00,112석룸(4개),유료주차,없음,기타 (베트남어),가능,불가능,불가능,불가능,"생고기 43,000원 
양지머리 43,000원 
오드래기 43,000원 
대창 35,000원 
등골 25,000원
",왕거미는 오독오독 씹는 소리 때문에 오드레기라는 별명을 붙여 처음 사용한 한우 특수부위 전문점입니다. 1976년 영업을 시작한 40년이 넘은 오래된 음식점입니다.,"지하철은 2호선 경대병원역 4번 출구 도보로 약 830m
",버스 정류장은 `중구청건너` 정류장이 가장 가깝습니다.,중구,"[35.8684865, 128.6070695]",35.8684865,128.6070695
101,769,대구광역시 중구 대봉동 12-7,한식,청도동곡막걸리,053-422-5813,15:00 ~ 01:00,30석,유료주차,없음,기타 (베트남어),가능,불가능,불가능,불가능,"흑산도홍어삼합 50,000원 
홍어전 30,000원 
명태포전 10,000원 
감자전 11,000원

",막걸리 중에서도 영양가가 높고 맛있기로 유명한 청도동곡막걸리 전문점입니다.,지하철 3호선 경대병원역 3번 출구 약 320m,버스 정류장은 `방천시장(김광석길)앞` 정류장이 가장 가깝습니다.,중구,"[35.8621332, 128.6061685]",35.8621332,128.6061685
102,750,대구광역시 중구 공평동 62,세계요리,나자르케밥,053-424-9951,월~목 12:00~ 10:30/ 금~토 12:00 ~ 05:00,20,주변 유료주차장 이용,없음,영어 기타 (터키어),가능,불가능,불가능,불가능,"또띠아케밥(large) 7,500원 
라이스케밥(large) 10,000원 
케밥박스(large) 10,500원

","이슬람교도의 할랄음식으로 터키주방장이 요리하는 터키 정통음식. 
2011년 3월부터 스타케밥으로 영업을 하다 리모델링 후 나자르케방으로 상호를 변경","지하철 2호선 반월당역 10번 출구 약 470m
지하철 1호선 중앙로역 2번 출구 약 570m
",버스 정류장은 `삼덕성당앞` 정류장이 가장 가깝습니다.,중구,"[35.86779300000001, 128.5990682]",35.86779300000001,128.5990682
103,748,대구광역시 중구 동산동 94-1,중식,시안,053-424-3789,11:00~21:00,68석,15대,없음,영어 중국어 &lt;BR&gt;기타 (터키어),가능,불가능,불가능,가능,"짜장면 5,000원 
야끼우동/중화비빔밥 7,500원 
칠리크림중새우 25,000원 
탕수육 15,000원/20,000원/25,000원
","요리경력 30년의 화교 영업주가 직접 운영하는 중구에 위치하고 있는 중식 레스토랑 입니다.
직접만든 수제물만두, 부추잡채, 유린기 등이 유명합니다.",지하철 3호선 서문시장역 3번 출구 약 280m,버스 정류장은 `섬유회관앞` 정류장이 가장 가깝습니다.,중구,"[35.8704347, 128.5838951]",35.8704347,128.5838951
104,747,대구광역시 중구 동성로1가 6-3 2층,세계요리,바라지레스토랑,053-425-3242,10:00 ~ 22:00,52석,10대(공영주차장),없음,"영어 기타 (인도, 네팔어)",가능,불가능,불가능,불가능,"치킨버터카레 13,500원 
양고기버터카레 14,500원 
새우버터카레 14,000원 
버터파니/바락파니 13,000원 
라시 3000~3500원
","네팔인이 직접 요리하는 인도/네팔음식 전문점입니다.
인도와 네팔에서 15년의 요리경력을 가지고 있으며 대구에서 네팔요리를 가장 잘 한다는 자부심을 가진 곳입니다.",지하철 1호선 중앙로역 3번 출구 약 260m,버스 정류장은 `경상감영공원앞` 정류장이 가장 가깝습니다.,중구,"[35.8733772, 128.5956939]",35.8733772,128.5956939
105,733,대구광역시 중구 삼덕동1가 5-12 2층,일식,회전초밥 갓파스시 대구점,053-423-4377,11:30 ~ 22:00,158,주변유료주차장,없음,"일본어 기타 (인도, 네팔어)",불가,불가능,불가능,가능,"평일 런치 19,800원 
평일 디너 20,800원 
주말 휴일 23,200원
","회전초밥 갓파스시는 프랜차이즈 업체로 정해진 메뉴를 토대로 제작 됩니다.
일본 본토에 본사가 있으며 위생이 꼼꼼한 일본식 회전초밥 전문점 입니다.
접시 수 만큼 계산.","지하철 1호선 중앙로역 2번 출구 약 420m
지하철 2호선 반월당역 10번 출구 약 430m",버스 정류장은 `약령시건너(동성로입구)` 정류장이 가장 가깝습니다.,중구,"[35.8671579, 128.5997356]",35.8671579,128.5997356
106,732,대구광역시 중구 봉산동 16,일식,도쿄다이닝,053-424-9191,11:30 ~ 20:30,32석,주변 유료주차,없음,"영어 기타 (인도, 네팔어)",불가,불가능,불가능,불가능,"크림소스 함바그 스테이크 10,500원 
토마토 치즈 함바그 스테이크 10,500원 
데리야끼 함바그 스테이크 10,500원 
챠슈 사라다 우동 9,500원 
카츠동 8,500원 
치즈카츠동 9,000원 
","[도쿄다이닝]은 오너 셰프가 직접운영하는 일본 정통 함바그스테이크 전문점입니다. 
하루를 넘기지 않고 신선하게 바로 만들어 판매하는 슬로우푸드입니다.","지하철 2호선 반월당역 10번 출구 약 210m


",버스 정류장은 `2호선반월당역1` 정류장이 가장 가깝습니다.,중구,"[35.8662188, 128.5960855]",35.8662188,128.5960855
107,718,"대구광역시 중구 동성로2가 65-1, 2층",한식,개정,053-422-0366,11:00 ~ 10:00,80석(룸1),없음,없음,"영어 기타 (인도, 네팔어)",가능,불가능,불가능,가능,"물냉면/비빔냉면 11,000원 
전주비빔밥 11,000원 
전주특육회비빔밥 13,000원 
돌솥비빔밥 12,000원 
돌솥특육회비빔밥 14,000원
","비빔밥이 유명한 개정 동성로점.
22년 역사를 가진 음식점.",지하철 1호선 중앙로역 2번 출구 약 260m,버스 정류장은 `CGV대구한일앞` 정류장이 가장 가깝습니다.,중구,"[35.8700915, 128.5965009]",35.8700915,128.5965009
108,706,대구광역시 중구 덕산동 125-12(지상3층),세계요리,타라,053-215-8050,11:30 ~ 22:00,50,유료주차,없음,기타 (),가능,불가능,불가능,가능,"난 2,000원~ 4,000원 
치킨커리/새우커리 8,000원 
치킨탄두리(한마리) 16,000원 
라시 3,000원
","치킨 탄두리와 난을 화덕에 구워주는 전통인도 전문점이다.
실제 인도 요리사가 현지의 맛을 그대로 재현해 내는 것이 특징이다.",지하철 2호선 반월당역 13번 출구 약 160m,버스 정류장은 `약령시건너(동성로입구)` 정류장이 가장 가깝습니다.,중구,"[35.8664866, 128.5938906]",35.8664866,128.5938906
109,703,"대구광역시 중구 동성로2가 2-3, 3층",세계요리,사마르칸트,053-252-4021,11:00 ~ 23:00,60,유료주차장,없음,기타 (),가능,불가능,불가능,가능,"삼사 4,000원 
소고기꼬치(1꼬치) 5,000원 
양고기꼬치(1꼬치) 5,000원  
양갈비찜 12,000원 
양갈비감자바베큐 15,000원
","우즈베키스탄과 러시아 음식 전문점으로 꼬치류와 빵류가 주류를 이룬다.
우즈베키스탄의 문화와 전통을 간접 체험할 수 있다.",지하철 1호선 중앙로역 3번 출구 약 190m,버스 정류장은 `경상감영공원건너` 정류장이 가장 가깝습니다.,중구,"[35.8721023, 128.5956024]",35.8721023,128.5956024
110,700,대구광역시 중구 봉산동 37-30,한식,행복식당,053-427-2232,12:00 ~ 24:00,68석(룸1),유료주차,없음,기타 (),가능,불가능,불가능,불가능,"동태전 10,000원 
황태무침 10,000원 
장조림 20,000원
",20년 전통의 쇠고기 장조림과 동태전이 대표적인 메뉴이다.,지하철 2호선 반월당역 11번 출구 약 80m,버스 정류장은 `2호선반월당역1` 정류장이 가장 가깝습니다.,중구,"[35.8657079, 128.5949732]",35.8657079,128.5949732
111,697,대구광역시 중구 덕산동 122-1,특별한 술집,곡주사,053-255-4524,09:00 ~ 11:00,100,유료주차장 이용,없음,기타 (),가능,불가능,불가능,불가능,"해물찌짐 8,000원 
고등어구이 8,000원 
제육볶음 13,000원 
영양돌솥밥(2인이상) 10,000원 
아구찜 25,000원/35,000원
",70년대부터 성주식당이라는 상호로 시작하여 민주화 운동을 하던 학생들이 자주 찾던 선술집으로 역사와 함께 해온 맛집이다.,지하철 2호선 반월당역 16번 출구 약 110m,버스 정류장은 `약령시건너(동성로입구)` 정류장이 가장 가깝습니다.,중구,"[35.8666715, 128.5925809]",35.8666715,128.5925809
112,696,대구광역시 중구 계산동2가 149-1,한식,원조국수,053-256-6420,11:30 ~ 19:00,40,유료주차,없음,기타 (),가능,불가능,불가능,불가능,"칼국수 6,000원 
수육 25,000원
","멸치, 다시다, 방계, 새우 등 다양한 재료로 우려낸 천연육수에 손으로 직접 반죽한 칼국수 면을 듬뿍 담아낸 맛이 일품인곳.",지하철 2호선 반월당역 18번 출구 약 320m,버스 정류장은 `약령시입구` 정류장이 가장 가깝습니다.,중구,"[35.8675796, 128.5897352]",35.8675796,128.5897352
113,685,대구광역시 중구 계산동2가 31-2,한식,서영,053-253-1199,11:00 ~ 21:00,58석(룸1),유료주차장,없음,영어 중국어 &lt;BR&gt;기타 (),가능,불가능,불가능,가능,"홍합밥(2인 이상) 9,000원 
녹두전 9,000원 
손칼국수 6,000원 
수육 15,000원/20,000원/25,000원
","가정집을 개조하여 운영하고 있는 곳으로 홍합밥, 녹두전, 손칼국수 등의 한식을 맛볼 수 있는 한식당입니다.",지하철 2호선 반월당역 18번 출구 약 400m,버스 정류장은 `매일신문사건너` 정류장이 가장 가깝습니다.,중구,"[35.8682304, 128.588636]",35.8682304,128.588636
114,669,대구광역시 중구 종로2가 85-1,전통차/커피전문점,미도다방,053-252-9999,09:00~22:00,140석,유료주차장,없음,영어 일본어 기타 (),가능,불가능,불가능,불가능,"쌍화차 4,000원 
약차 3,500원 
커피 2,500원 
강황꿀차 4,000원 
강황꿀주스 4,500원 
유자주스 4,500원 
","진골목에 위치한 옛날식 다방으로 1980년대 부터 현 사장님이 운영하는 곳.
유명인사들이 많이 다녀 간 곳으로 차한잔을 시키면 웨하스와 점병, 강정등 간식을 준다.",지하철 2호선 반월당역 15번 출구 약 250m,버스 정류장은 `약령시건너(동성로입구)` 정류장이 가장 가깝습니다.,중구,"[35.8680689, 128.592691]",35.8680689,128.592691
115,664,대구광역시 중구 삼덕동2가 266-1,한식,고전한정식,053-427-6567,09:00 ~ 12:00,40석,없음,없음,기타 (),가능,불가능,불가능,가능,"고전한정식 13,500원 
영양갈비탕 10,000원 
버섯불고기 9,000원 
육개장 8,000원 
된장찌개 7,000원
",경북대학교병원과 삼덕네거리  사이 진석타워 맞은편,지하철 2호선 경대병원역 4번 출구 약 180m,버스 정류장은 `경북대학교병원앞` 정류장이 가장 가깝습니다.,중구,"[35.8646816, 128.6032259]",35.8646816,128.6032259
116,594,대구광역시 중구 남산동 725-1,특별한 술집,남산동도루묵,053-422-0747,14:00 ~ 22:00,50,주변골목주차,없음,기타 (),가능,불가능,불가능,불가능,"도루묵구이 9,000원 
도루묵찌개/도루묵조림 12,000원 
동태찌개 9,000원 
부추전 5,000원
","탁주 한사발 조용히 마시기 좋은 오랜 벗과 같은 집입니다.
알만한 사람은 다 알만큼 유명하지만 워낙 구석진 곳에 홀로 있어 일부러 찾아가지 않으면 발길이 쉽지 않은 곳이죠.",지하철 1호선 명덕역 6번 출구 약 500m,버스 정류장은 `대구향교앞` 정류장이 가장 가깝습니다.,중구,"[35.8597986, 128.5935727]",35.8597986,128.5935727
